dataset,model,suffix,n_samples,n_anomalies_pred,n_anomalies_true,training_time,inference_time,accuracy,precision,recall,f1,tp,tn,fp,fn,seed
SKAB_fold_1,LSTM,seed_42,4515,0,1546,9.590518712997437,0.6435747146606445,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_1,1D-CNN,seed_42,4515,0,1546,5.396976470947266,0.45998406410217285,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_1,GRU,seed_42,4515,0,1546,7.850142478942871,0.762061595916748,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_2,LSTM,seed_42,4427,0,1598,9.590518712997437,0.6968610286712646,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_2,1D-CNN,seed_42,4427,0,1598,5.396976470947266,0.4419283866882324,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_2,GRU,seed_42,4427,0,1598,7.850142478942871,0.6030714511871338,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_3,LSTM,seed_42,4506,0,1542,9.590518712997437,0.721423864364624,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_3,1D-CNN,seed_42,4506,0,1542,5.396976470947266,0.45132875442504883,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_3,GRU,seed_42,4506,0,1542,7.850142478942871,0.794269323348999,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_4,LSTM,seed_42,4515,0,1605,9.590518712997437,0.6809027194976807,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_4,1D-CNN,seed_42,4515,0,1605,5.396976470947266,0.4414970874786377,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_4,GRU,seed_42,4515,0,1605,7.850142478942871,0.5830261707305908,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_5,LSTM,seed_42,4494,0,1535,9.590518712997437,0.6303939819335938,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
SKAB_fold_5,1D-CNN,seed_42,4494,0,1535,5.396976470947266,0.3930225372314453,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
SKAB_fold_5,GRU,seed_42,4494,0,1535,7.850142478942871,0.5331716537475586,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
BATADAL_test,LSTM,seed_42,833,0,80,9.590518712997437,0.3845047950744629,0.904,0.0,0.0,0.0,0,753,0,80,42
BATADAL_test,1D-CNN,seed_42,833,0,80,5.396976470947266,0.2575082778930664,0.904,0.0,0.0,0.0,0,753,0,80,42
BATADAL_test,GRU,seed_42,833,0,80,7.850142478942871,0.38127565383911133,0.904,0.0,0.0,0.0,0,753,0,80,42
SKAB_fold_1,ProbabilisticAutomata,seed_42,4515,138,1546,0.07365536689758301,0.02409815788269043,0.6483,0.3478,0.031,0.057,48,2879,90,1498,42
SKAB_fold_2,ProbabilisticAutomata,seed_42,4427,36,1598,0.07365536689758301,0.02336406707763672,0.6327,0.1111,0.0025,0.0049,4,2797,32,1594,42
SKAB_fold_3,ProbabilisticAutomata,seed_42,4506,5,1542,0.07365536689758301,0.026371479034423828,0.6567,0.0,0.0,0.0,0,2959,5,1542,42
SKAB_fold_4,ProbabilisticAutomata,seed_42,4515,40,1605,0.07365536689758301,0.024937868118286133,0.6432,0.425,0.0106,0.0207,17,2887,23,1588,42
SKAB_fold_5,ProbabilisticAutomata,seed_42,4494,24,1535,0.07365536689758301,0.02389812469482422,0.6544,0.125,0.002,0.0038,3,2938,21,1532,42
BATADAL_test,ProbabilisticAutomata,seed_42,833,31,80,0.013705968856811523,0.008069515228271484,0.8739,0.0968,0.0375,0.0541,3,725,28,77,42
SKAB_fold_1_noisy,LSTM,seed_42,4515,0,1546,9.590518712997437,0.511115550994873,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_1_noisy,1D-CNN,seed_42,4515,0,1546,5.396976470947266,0.43152594566345215,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_1_noisy,GRU,seed_42,4515,0,1546,7.850142478942871,0.7473495006561279,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_2_noisy,LSTM,seed_42,4427,0,1598,9.590518712997437,0.6722021102905273,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_2_noisy,1D-CNN,seed_42,4427,0,1598,5.396976470947266,0.48314571380615234,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_2_noisy,GRU,seed_42,4427,0,1598,7.850142478942871,0.6533951759338379,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_3_noisy,LSTM,seed_42,4506,0,1542,9.590518712997437,0.7304339408874512,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_3_noisy,1D-CNN,seed_42,4506,0,1542,5.396976470947266,0.497298002243042,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_3_noisy,GRU,seed_42,4506,0,1542,7.850142478942871,0.7062807083129883,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_4_noisy,LSTM,seed_42,4515,0,1605,9.590518712997437,0.673119306564331,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_4_noisy,1D-CNN,seed_42,4515,0,1605,5.396976470947266,0.5095889568328857,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_4_noisy,GRU,seed_42,4515,0,1605,7.850142478942871,0.6768746376037598,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_5_noisy,LSTM,seed_42,4494,0,1535,9.590518712997437,0.6405086517333984,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
SKAB_fold_5_noisy,1D-CNN,seed_42,4494,0,1535,5.396976470947266,0.46372103691101074,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
SKAB_fold_5_noisy,GRU,seed_42,4494,0,1535,7.850142478942871,1.1573987007141113,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
BATADAL_test_noisy,LSTM,seed_42,833,0,80,9.590518712997437,0.5024697780609131,0.904,0.0,0.0,0.0,0,753,0,80,42
BATADAL_test_noisy,1D-CNN,seed_42,833,0,80,5.396976470947266,0.2928924560546875,0.904,0.0,0.0,0.0,0,753,0,80,42
BATADAL_test_noisy,GRU,seed_42,833,0,80,7.850142478942871,0.49243903160095215,0.904,0.0,0.0,0.0,0,753,0,80,42
SKAB_fold_1_noisy,ProbabilisticAutomata,seed_42,4515,1090,1546,0.07365536689758301,0.026500225067138672,0.5849,0.3495,0.2464,0.2891,381,2260,709,1165,42
SKAB_fold_2_noisy,ProbabilisticAutomata,seed_42,4427,703,1598,0.07365536689758301,0.024929523468017578,0.5593,0.2489,0.1095,0.1521,175,2301,528,1423,42
SKAB_fold_3_noisy,ProbabilisticAutomata,seed_42,4506,454,1542,0.07365536689758301,0.02728581428527832,0.5921,0.174,0.0512,0.0792,79,2589,375,1463,42
SKAB_fold_4_noisy,ProbabilisticAutomata,seed_42,4515,449,1605,0.07365536689758301,0.026915311813354492,0.6128,0.3408,0.0953,0.149,153,2614,296,1452,42
SKAB_fold_5_noisy,ProbabilisticAutomata,seed_42,4494,608,1535,0.07365536689758301,0.0269622802734375,0.5739,0.1875,0.0743,0.1064,114,2465,494,1421,42
BATADAL_test_noisy,ProbabilisticAutomata,seed_42,833,107,80,0.013705968856811523,0.008276700973510742,0.7947,0.0748,0.1,0.0856,8,654,99,72,42
SKAB_fold_1_unseen,LSTM,seed_42,4515,0,1546,9.590518712997437,0.6881387233734131,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_1_unseen,1D-CNN,seed_42,4515,0,1546,5.396976470947266,0.5027437210083008,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_1_unseen,GRU,seed_42,4515,0,1546,7.850142478942871,0.7700691223144531,0.6576,0.0,0.0,0.0,0,2969,0,1546,42
SKAB_fold_2_unseen,LSTM,seed_42,4427,0,1598,9.590518712997437,0.5307614803314209,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_2_unseen,1D-CNN,seed_42,4427,0,1598,5.396976470947266,0.455524206161499,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_2_unseen,GRU,seed_42,4427,0,1598,7.850142478942871,0.7345371246337891,0.639,0.0,0.0,0.0,0,2829,0,1598,42
SKAB_fold_3_unseen,LSTM,seed_42,4506,0,1542,9.590518712997437,0.6666650772094727,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_3_unseen,1D-CNN,seed_42,4506,0,1542,5.396976470947266,0.4782860279083252,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_3_unseen,GRU,seed_42,4506,0,1542,7.850142478942871,0.6368772983551025,0.6578,0.0,0.0,0.0,0,2964,0,1542,42
SKAB_fold_4_unseen,LSTM,seed_42,4515,0,1605,9.590518712997437,0.5472323894500732,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_4_unseen,1D-CNN,seed_42,4515,0,1605,5.396976470947266,0.4187016487121582,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_4_unseen,GRU,seed_42,4515,0,1605,7.850142478942871,0.7004444599151611,0.6445,0.0,0.0,0.0,0,2910,0,1605,42
SKAB_fold_5_unseen,LSTM,seed_42,4494,0,1535,9.590518712997437,0.5437605381011963,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
SKAB_fold_5_unseen,1D-CNN,seed_42,4494,0,1535,5.396976470947266,0.39345598220825195,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
SKAB_fold_5_unseen,GRU,seed_42,4494,0,1535,7.850142478942871,0.5766868591308594,0.6584,0.0,0.0,0.0,0,2959,0,1535,42
BATADAL_test_unseen,LSTM,seed_42,833,0,80,9.590518712997437,0.33307814598083496,0.904,0.0,0.0,0.0,0,753,0,80,42
BATADAL_test_unseen,1D-CNN,seed_42,833,0,80,5.396976470947266,0.22635722160339355,0.904,0.0,0.0,0.0,0,753,0,80,42
BATADAL_test_unseen,GRU,seed_42,833,0,80,7.850142478942871,0.4299733638763428,0.904,0.0,0.0,0.0,0,753,0,80,42
SKAB_fold_1_unseen,ProbabilisticAutomata,seed_42,4515,454,1546,0.07365536689758301,0.02711653709411621,0.6288,0.3568,0.1048,0.162,162,2677,292,1384,42
SKAB_fold_2_unseen,ProbabilisticAutomata,seed_42,4427,439,1598,0.07365536689758301,0.026328563690185547,0.6103,0.3554,0.0976,0.1532,156,2546,283,1442,42
SKAB_fold_3_unseen,ProbabilisticAutomata,seed_42,4506,233,1542,0.07365536689758301,0.023673057556152344,0.6354,0.2833,0.0428,0.0744,66,2797,167,1476,42
SKAB_fold_4_unseen,ProbabilisticAutomata,seed_42,4515,258,1605,0.07365536689758301,0.025858640670776367,0.6286,0.3605,0.0579,0.0998,93,2745,165,1512,42
SKAB_fold_5_unseen,ProbabilisticAutomata,seed_42,4494,438,1535,0.07365536689758301,0.02593255043029785,0.6255,0.3311,0.0945,0.147,145,2666,293,1390,42
BATADAL_test_unseen,ProbabilisticAutomata,seed_42,833,94,80,0.013705968856811523,0.007845163345336914,0.8175,0.117,0.1375,0.1264,11,670,83,69,42
SKAB_fold_1,LSTM,seed_123,4515,0,1546,9.131176471710205,0.6786015033721924,0.6576,0.0,0.0,0.0,0,2969,0,1546,123
SKAB_fold_1,1D-CNN,seed_123,4515,0,1546,5.475814342498779,0.5125105381011963,0.6576,0.0,0.0,0.0,0,2969,0,1546,123
SKAB_fold_1,GRU,seed_123,4515,0,1546,10.29713225364685,0.714036226272583,0.6576,0.0,0.0,0.0,0,2969,0,1546,123
SKAB_fold_2,LSTM,seed_123,4427,0,1598,9.131176471710205,0.7244212627410889,0.639,0.0,0.0,0.0,0,2829,0,1598,123
SKAB_fold_2,1D-CNN,seed_123,4427,0,1598,5.475814342498779,0.5005650520324707,0.639,0.0,0.0,0.0,0,2829,0,1598,123
SKAB_fold_2,GRU,seed_123,4427,0,1598,10.29713225364685,0.6819217205047607,0.639,0.0,0.0,0.0,0,2829,0,1598,123
SKAB_fold_3,LSTM,seed_123,4506,0,1542,9.131176471710205,0.7205562591552734,0.6578,0.0,0.0,0.0,0,2964,0,1542,123
SKAB_fold_3,1D-CNN,seed_123,4506,0,1542,5.475814342498779,0.46689653396606445,0.6578,0.0,0.0,0.0,0,2964,0,1542,123
SKAB_fold_3,GRU,seed_123,4506,0,1542,10.29713225364685,0.7056407928466797,0.6578,0.0,0.0,0.0,0,2964,0,1542,123
SKAB_fold_4,LSTM,seed_123,4515,0,1605,9.131176471710205,0.7107152938842773,0.6445,0.0,0.0,0.0,0,2910,0,1605,123
SKAB_fold_4,1D-CNN,seed_123,4515,0,1605,5.475814342498779,0.4546852111816406,0.6445,0.0,0.0,0.0,0,2910,0,1605,123
SKAB_fold_4,GRU,seed_123,4515,0,1605,10.29713225364685,0.571028470993042,0.6445,0.0,0.0,0.0,0,2910,0,1605,123
SKAB_fold_5,LSTM,seed_123,4494,0,1535,9.131176471710205,1.1391410827636719,0.6584,0.0,0.0,0.0,0,2959,0,1535,123
SKAB_fold_5,1D-CNN,seed_123,4494,0,1535,5.475814342498779,0.42580413818359375,0.6584,0.0,0.0,0.0,0,2959,0,1535,123
SKAB_fold_5,GRU,seed_123,4494,0,1535,10.29713225364685,0.5524823665618896,0.6584,0.0,0.0,0.0,0,2959,0,1535,123
BATADAL_test,LSTM,seed_123,833,0,80,9.131176471710205,0.4096200466156006,0.904,0.0,0.0,0.0,0,753,0,80,123
BATADAL_test,1D-CNN,seed_123,833,0,80,5.475814342498779,0.301257848739624,0.904,0.0,0.0,0.0,0,753,0,80,123
BATADAL_test,GRU,seed_123,833,0,80,10.29713225364685,0.5433180332183838,0.904,0.0,0.0,0.0,0,753,0,80,123
SKAB_fold_1,ProbabilisticAutomata,seed_123,4515,138,1546,0.0741124153137207,0.03697919845581055,0.6483,0.3478,0.031,0.057,48,2879,90,1498,123
SKAB_fold_2,ProbabilisticAutomata,seed_123,4427,36,1598,0.0741124153137207,0.03350257873535156,0.6327,0.1111,0.0025,0.0049,4,2797,32,1594,123
SKAB_fold_3,ProbabilisticAutomata,seed_123,4506,5,1542,0.0741124153137207,0.02827620506286621,0.6567,0.0,0.0,0.0,0,2959,5,1542,123
SKAB_fold_4,ProbabilisticAutomata,seed_123,4515,40,1605,0.0741124153137207,0.02536940574645996,0.6432,0.425,0.0106,0.0207,17,2887,23,1588,123
SKAB_fold_5,ProbabilisticAutomata,seed_123,4494,24,1535,0.0741124153137207,0.022734642028808594,0.6544,0.125,0.002,0.0038,3,2938,21,1532,123
BATADAL_test,ProbabilisticAutomata,seed_123,833,31,80,0.014501333236694336,0.0076446533203125,0.8739,0.0968,0.0375,0.0541,3,725,28,77,123
SKAB_fold_1_noisy,LSTM,seed_123,4515,0,1546,9.131176471710205,0.5384523868560791,0.6576,0.0,0.0,0.0,0,2969,0,1546,123
SKAB_fold_1_noisy,1D-CNN,seed_123,4515,0,1546,5.475814342498779,0.44232940673828125,0.6576,0.0,0.0,0.0,0,2969,0,1546,123
SKAB_fold_1_noisy,GRU,seed_123,4515,0,1546,10.29713225364685,0.5687034130096436,0.6576,0.0,0.0,0.0,0,2969,0,1546,123
SKAB_fold_2_noisy,LSTM,seed_123,4427,0,1598,9.131176471710205,0.5186054706573486,0.639,0.0,0.0,0.0,0,2829,0,1598,123
SKAB_fold_2_noisy,1D-CNN,seed_123,4427,0,1598,5.475814342498779,0.421903133392334,0.639,0.0,0.0,0.0,0,2829,0,1598,123
SKAB_fold_2_noisy,GRU,seed_123,4427,0,1598,10.29713225364685,0.6361870765686035,0.639,0.0,0.0,0.0,0,2829,0,1598,123
SKAB_fold_3_noisy,LSTM,seed_123,4506,0,1542,9.131176471710205,0.5770766735076904,0.6578,0.0,0.0,0.0,0,2964,0,1542,123
SKAB_fold_3_noisy,1D-CNN,seed_123,4506,0,1542,5.475814342498779,0.44281983375549316,0.6578,0.0,0.0,0.0,0,2964,0,1542,123
SKAB_fold_3_noisy,GRU,seed_123,4506,0,1542,10.29713225364685,0.5540101528167725,0.6578,0.0,0.0,0.0,0,2964,0,1542,123
SKAB_fold_4_noisy,LSTM,seed_123,4515,0,1605,9.131176471710205,0.5322866439819336,0.6445,0.0,0.0,0.0,0,2910,0,1605,123
SKAB_fold_4_noisy,1D-CNN,seed_123,4515,0,1605,5.475814342498779,0.46654510498046875,0.6445,0.0,0.0,0.0,0,2910,0,1605,123
SKAB_fold_4_noisy,GRU,seed_123,4515,0,1605,10.29713225364685,0.7458877563476562,0.6445,0.0,0.0,0.0,0,2910,0,1605,123
SKAB_fold_5_noisy,LSTM,seed_123,4494,0,1535,9.131176471710205,0.7304320335388184,0.6584,0.0,0.0,0.0,0,2959,0,1535,123
SKAB_fold_5_noisy,1D-CNN,seed_123,4494,0,1535,5.475814342498779,0.4948854446411133,0.6584,0.0,0.0,0.0,0,2959,0,1535,123
SKAB_fold_5_noisy,GRU,seed_123,4494,0,1535,10.29713225364685,0.7860939502716064,0.6584,0.0,0.0,0.0,0,2959,0,1535,123
BATADAL_test_noisy,LSTM,seed_123,833,0,80,9.131176471710205,0.5275335311889648,0.904,0.0,0.0,0.0,0,753,0,80,123
BATADAL_test_noisy,1D-CNN,seed_123,833,0,80,5.475814342498779,0.32104063034057617,0.904,0.0,0.0,0.0,0,753,0,80,123
BATADAL_test_noisy,GRU,seed_123,833,0,80,10.29713225364685,0.5008513927459717,0.904,0.0,0.0,0.0,0,753,0,80,123
SKAB_fold_1_noisy,ProbabilisticAutomata,seed_123,4515,1144,1546,0.0741124153137207,0.027262210845947266,0.5756,0.3383,0.2503,0.2877,387,2212,757,1159,123
SKAB_fold_2_noisy,ProbabilisticAutomata,seed_123,4427,646,1598,0.0741124153137207,0.02465987205505371,0.574,0.2771,0.112,0.1595,179,2362,467,1419,123
SKAB_fold_3_noisy,ProbabilisticAutomata,seed_123,4506,423,1542,0.0741124153137207,0.024343490600585938,0.5972,0.1773,0.0486,0.0763,75,2616,348,1467,123
SKAB_fold_4_noisy,ProbabilisticAutomata,seed_123,4515,437,1605,0.0741124153137207,0.02420520782470703,0.6186,0.3661,0.0997,0.1567,160,2633,277,1445,123
SKAB_fold_5_noisy,ProbabilisticAutomata,seed_123,4494,622,1535,0.0741124153137207,0.023374319076538086,0.5676,0.172,0.0697,0.0992,107,2444,515,1428,123
BATADAL_test_noisy,ProbabilisticAutomata,seed_123,833,115,80,0.014501333236694336,0.008655786514282227,0.7803,0.0522,0.075,0.0615,6,644,109,74,123
